author_rank,author_name,author_key,inspire_author_recid,author_type,paper_count,frontier_count,frontiers,first_year,last_year,citable_paper_count,total_citations_on_coauthored_papers,mean_citations_on_coauthored_papers,max_citations_on_coauthored_papers
1184,"Kim, D.",INSPIRE:1002970,1002970,individual,3,4,AF | CF | NF | RPF,2022,2022,3,209,69.66666666666667,119
1185,"Wang, Dayong",INSPIRE:1233253,1233253,individual,3,1,RPF,2022,2022,3,209,69.66666666666667,175
1186,"Zhu, J.",INSPIRE:982070,982070,individual,3,6,AF | EF | IF | NF | RPF | TF,2022,2022,3,208,69.33333333333333,166
1187,"Frisch, Josef",INSPIRE:1050138,1050138,individual,3,5,AF | CEF | CF | IF | NF,2022,2022,3,206,68.66666666666667,172
1188,"Bertemes, Michel",INSPIRE:1753301,1753301,individual,3,3,AF | EF | RPF,2022,2022,3,205,68.33333333333333,152
1189,"Fulsom, Bryan",INSPIRE:1028283,1028283,individual,3,3,AF | EF | RPF,2022,2022,3,205,68.33333333333333,152
1190,"Prell, Soeren A.",INSPIRE:992802,992802,individual,3,3,AF | EF | RPF,2022,2022,3,205,68.33333333333333,152
1191,"Schwartz, Alan J.",INSPIRE:989595,989595,individual,3,3,AF | EF | RPF,2022,2022,3,205,68.33333333333333,152
1192,"Habib, Salman",INSPIRE:1007083,1007083,individual,3,3,CF | CompF | IF,2022,2022,3,203,67.66666666666667,172
1193,"Le, T.L.",INSPIRE:1068069,1068069,individual,3,4,CF | IF | NF | RPF,2022,2022,3,200,66.66666666666667,93
1194,"Mott, James",INSPIRE:1073789,1073789,individual,3,1,RPF,2022,2022,3,200,66.66666666666667,136
1195,"Zeller, G.P.",INSPIRE:982276,982276,individual,3,4,CF | IF | NF | RPF,2022,2022,3,200,66.66666666666667,93
1196,"Green, M.P.",INSPIRE:1048947,1048947,individual,3,3,CF | IF | NF,2022,2022,3,195,65.0,119
1197,"Rapp, R.",INSPIRE:3160178,3160178,individual,3,3,CF | IF | NF,2022,2022,3,195,65.0,119
1198,"Katsioulas, I.",INSPIRE:1650103,1650103,individual,3,3,CF | IF | NF,2022,2022,3,194,64.66666666666667,119
1199,"Nelson, J.K.",INSPIRE:995895,995895,individual,3,5,CF | IF | NF | RPF | UF,2022,2022,3,190,63.333333333333336,83
1200,"Stanford, C.",INSPIRE:1281461,1281461,individual,3,5,CF | IF | NF | RPF | UF,2022,2022,3,190,63.333333333333336,83
